condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
lattice,ambiguous,1,0.0041228612657184084,80,0.514,0.5584,0.16082565266594295
lattice,ambiguous,1,0.0041228612657184084,100,0.4928,0.5426,0.14273197378951677
lattice,ambiguous,1,0.0041228612657184084,120,0.5232,0.5785999999999999,0.1290001556174396
lattice,ambiguous,1,0.0041228612657184084,140,0.5169999999999999,0.5833999999999999,0.11947413600326792
lattice,ambiguous,1,0.0041228612657184084,160,0.5224,0.5944,0.11200918994044112
lattice,ambiguous,1,0.0041228612657184084,180,0.5321999999999999,0.6216,0.1039625740156472
lattice,ambiguous,1,0.0041228612657184084,200,0.5468,0.6444,0.09753051953967894
lattice,ambiguous,2,0.0041228612657184084,0,0.5024000000000001,0.5232,0.28881926161221333
lattice,ambiguous,2,0.0041228612657184084,20,0.5034000000000001,0.5302,0.24287741603593188
lattice,ambiguous,2,0.0041228612657184084,40,0.5136,0.533,0.211065589782403
lattice,ambiguous,2,0.0041228612657184084,60,0.5114000000000001,0.5541999999999999,0.18618235420863535
lattice,ambiguous,2,0.0041228612657184084,80,0.5114,0.5562,0.16400340022836746
lattice,ambiguous,2,0.0041228612657184084,100,0.518,0.5506,0.1462589364376361
lattice,ambiguous,2,0.0041228612657184084,120,0.5131999999999999,0.5728000000000001,0.1311168514470474
lattice,ambiguous,2,0.0041228612657184084,140,0.4976,0.579,0.11678378251671526
lattice,ambiguous,2,0.0041228612657184084,160,0.5228,0.5933999999999999,0.10612176689055079
lattice,ambiguous,2,0.0041228612657184084,180,0.5136,0.5938,0.09793819415716665
lattice,ambiguous,2,0.0041228612657184084,200,0.5207999999999999,0.5942,0.09055463129538686
m1,unconditional,0,0.15481344052772625,0,0.496,0.5334,0.29456274092017587
m1,unconditional,0,0.15481344052772625,20,0.4882000000000001,0.5514,0.18629911970197918
m1,unconditional,0,0.15481344052772625,40,0.519,0.606,0.15842080720530904
m1,unconditional,0,0.15481344052772625,60,0.5519999999999999,0.6578,0.1495605962327881
m1,unconditional,0,0.15481344052772625,80,0.5842,0.6975999999999999,0.1501544951382054
m1,unconditional,0,0.15481344052772625,100,0.5852,0.7010000000000001,0.15174435281422666
m1,unconditional,0,0.15481344052772625,120,0.5974,0.7038,0.15204496185294863
m1,unconditional,0,0.15481344052772625,140,0.6028,0.7116,0.15066056046370807
m1,unconditional,0,0.15481344052772625,160,0.5943999999999999,0.7184,0.15372310210621848
m1,unconditional,0,0.15481344052772625,180,0.6036,0.7280000000000001,0.15398194487116362
m1,unconditional,0,0.15481344052772625,200,0.605,0.7358,0.15345590185732566
m1,unconditional,1,0.22696351267779838,0,0.49559999999999993,0.54,0.2856771864045262
m1,unconditional,1,0.22696351267779838,20,0.4968,0.5314,0.18711604266639223
